2_037 : 0.25,0.26,0.24,0.24,0.25,0.26,0.26,0.27,0.28,0.26,0.26,0.28,0.25,0.27,0.26,0.23,0.25,0.28,0.26,0.28,0.25,0.24,0.27,0.26,0.27,0.27,0.24,0.26,0.26,0.25,0.28,0.25,0.25,0.28,0.25,0.26,0.27,0.27,0.24,0.26,0.23,0.26,0.27,0.25,0.26,0.27,0.25,0.27,0.27,0.24,
2_041 : 0.24,0.28,0.28,0.24,0.28,0.26,0.25,0.27,0.22,0.26,0.27,0.29,0.23,0.27,0.27,0.23,0.24,0.27,0.29,0.23,0.27,0.24,0.24,0.23,0.24,0.28,0.26,0.26,0.23,0.25,0.23,0.25,0.24,0.25,0.25,0.26,0.25,0.24,0.26,0.24,0.28,0.25,0.27,0.25,0.3,0.23,0.25,0.26,0.26,0.25,
2_034 : 0.25,0.27,0.24,0.25,0.25,0.26,0.24,0.25,0.23,0.27,0.24,0.26,0.26,0.28,0.26,0.25,0.27,0.26,0.26,0.25,0.26,0.25,0.24,0.24,0.27,0.26,0.26,0.25,0.26,0.27,0.24,0.25,0.24,0.22,0.26,0.25,0.22,0.25,0.24,0.24,0.26,0.26,0.25,0.27,0.23,0.24,0.26,0.24,0.27,0.27,
2_U10-006 : 0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.25,0.26,0.24,0.25,0.26,0.25,0.25,0.24,0.25,0.25,0.26,0.24,0.24,0.23,0.25,0.23,0.23,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.25,0.26,0.25,0.27,0.25,0.25,0.24,
2_053 : 0.22,0.23,0.22,0.24,0.23,0.22,0.23,0.25,0.21,0.21,0.26,0.24,0.23,0.23,0.24,0.23,0.22,0.18,0.22,0.22,0.24,0.24,0.25,0.22,0.2,0.21,0.23,0.26,0.21,0.21,0.22,0.23,0.21,0.22,0.23,0.22,0.22,0.19,0.21,0.25,0.24,0.23,0.25,0.26,0.23,0.21,0.23,0.24,0.22,0.22,
2_003 : 0.24,0.25,0.28,0.27,0.32,0.28,0.26,0.25,0.27,0.31,0.26,0.26,0.24,0.27,0.28,0.26,0.27,0.24,0.25,0.26,0.25,0.24,0.31,0.26,0.27,0.27,0.31,0.27,0.34,0.27,0.25,0.27,0.26,0.26,0.3,0.27,0.29,0.27,0.28,0.25,0.27,0.26,0.25,0.29,0.28,0.32,0.29,0.27,0.26,0.23,
2_020 : 0.24,0.27,0.27,0.27,0.27,0.28,0.26,0.23,0.25,0.25,0.26,0.25,0.24,0.26,0.24,0.26,0.25,0.24,0.25,0.25,0.25,0.29,0.27,0.23,0.27,0.26,0.25,0.23,0.24,0.24,0.25,0.27,0.25,0.25,0.24,0.23,0.27,0.26,0.24,0.24,0.26,0.24,0.27,0.27,0.27,0.27,0.27,0.24,0.24,0.24,
2_031 : 0.23,0.27,0.26,0.24,0.26,0.27,0.26,0.26,0.24,0.24,0.25,0.23,0.28,0.24,0.27,0.27,0.24,0.26,0.24,0.26,0.25,0.27,0.28,0.26,0.27,0.24,0.22,0.25,0.26,0.24,0.26,0.25,0.24,0.24,0.24,0.25,0.26,0.23,0.24,0.27,0.24,0.26,0.24,0.24,0.27,0.28,0.25,0.23,0.26,0.26,
2_U100-007 : 0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,
2_016 : 0.25,0.24,0.25,0.22,0.25,0.23,0.24,0.25,0.24,0.23,0.22,0.27,0.26,0.24,0.21,0.24,0.23,0.25,0.25,0.22,0.26,0.22,0.26,0.28,0.21,0.26,0.22,0.22,0.22,0.27,0.25,0.23,0.26,0.24,0.21,0.26,0.27,0.25,0.26,0.23,0.28,0.27,0.24,0.23,0.25,0.26,0.28,0.24,0.22,0.27,
