2_U100-007 : 0.77,0.78,0.77,0.78,0.78,0.77,0.78,0.77,0.77,0.78,0.78,0.77,0.78,0.77,0.77,0.77,0.78,0.77,0.77,0.78,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.76,0.77,0.78,0.77,0.77,0.77,0.78,0.77,0.79,0.78,0.78,0.78,0.77,0.78,0.77,0.77,0.77,0.78,0.77,0.78,0.77,0.76,0.78,
2_016 : 0.3,0.41,0.36,0.32,0.33,0.33,0.38,0.29,0.26,0.44,0.35,0.31,0.36,0.36,0.35,0.27,0.36,0.37,0.3,0.36,0.31,0.42,0.32,0.32,0.36,0.31,0.37,0.34,0.32,0.35,0.32,0.32,0.33,0.34,0.38,0.31,0.36,0.32,0.33,0.44,0.34,0.37,0.39,0.35,0.34,0.32,0.35,0.34,0.31,0.32,
2_019 : 0.27,0.54,0.52,0.27,0.46,0.42,0.27,0.5,0.49,0.53,0.45,0.42,0.25,0.42,0.34,0.42,0.42,0.42,0.43,0.53,0.45,0.45,0.52,0.3,0.58,0.33,0.46,0.43,0.25,0.42,0.41,0.47,0.25,0.43,0.48,0.44,0.46,0.42,0.43,0.47,0.45,0.46,0.47,0.39,0.53,0.41,0.4,0.47,0.42,0.55,
2_021 : 0.46,0.39,0.46,0.38,0.43,0.38,0.39,0.41,0.43,0.38,0.45,0.43,0.38,0.34,0.67,0.46,0.45,0.36,0.42,0.4,0.39,0.43,0.65,0.38,0.38,0.64,0.39,0.43,0.39,0.45,0.37,0.45,0.34,0.4,0.4,0.38,0.43,0.41,0.38,0.38,0.39,0.37,0.42,0.38,0.43,0.4,0.38,0.39,0.41,0.37,
2_012 : 0.66,0.62,0.66,0.57,0.58,0.57,0.71,0.38,0.73,0.52,0.56,0.58,0.55,0.69,0.62,0.71,0.66,0.4,0.57,0.53,0.51,0.52,0.42,0.64,0.53,0.68,0.65,0.63,0.66,0.57,0.65,0.53,0.55,0.61,0.66,0.65,0.73,0.5,0.66,0.72,0.67,0.64,0.39,0.72,0.61,0.63,0.56,0.49,0.52,0.6,
2_015 : 0.43,0.55,0.5,0.57,0.54,0.43,0.48,0.42,0.37,0.59,0.5,0.61,0.39,0.37,0.38,0.43,0.4,0.57,0.4,0.35,0.54,0.54,0.54,0.63,0.46,0.55,0.46,0.4,0.4,0.56,0.59,0.45,0.38,0.45,0.55,0.54,0.34,0.62,0.61,0.55,0.51,0.42,0.49,0.54,0.43,0.4,0.44,0.6,0.65,0.36,
2_007 : 0.57,0.31,0.31,0.29,0.32,0.34,0.58,0.29,0.3,0.57,0.64,0.29,0.32,0.41,0.5,0.52,0.34,0.56,0.3,0.32,0.5,0.58,0.59,0.33,0.32,0.31,0.52,0.64,0.4,0.48,0.32,0.32,0.33,0.52,0.59,0.32,0.55,0.59,0.37,0.42,0.34,0.47,0.37,0.37,0.62,0.54,0.28,0.41,0.47,0.52,
2_042 : 0.6,0.68,0.6,0.59,0.62,0.62,0.62,0.69,0.55,0.66,0.64,0.69,0.63,0.61,0.67,0.6,0.69,0.64,0.6,0.62,0.68,0.58,0.61,0.63,0.62,0.68,0.64,0.63,0.63,0.63,0.6,0.64,0.61,0.66,0.71,0.67,0.69,0.7,0.37,0.62,0.67,0.66,0.58,0.6,0.49,0.62,0.65,0.69,0.66,0.63,
2_044 : 0.71,0.72,0.71,0.72,0.66,0.73,0.72,0.69,0.72,0.75,0.72,0.71,0.77,0.7,0.72,0.71,0.64,0.71,0.71,0.67,0.68,0.68,0.71,0.72,0.7,0.7,0.7,0.7,0.63,0.75,0.7,0.71,0.7,0.73,0.68,0.63,0.72,0.72,0.62,0.71,0.72,0.7,0.71,0.76,0.74,0.71,0.76,0.74,0.7,0.72,
2_011 : 0.66,0.68,0.61,0.59,0.59,0.57,0.62,0.61,0.59,0.56,0.6,0.67,0.62,0.58,0.62,0.6,0.59,0.64,0.57,0.6,0.58,0.69,0.61,0.6,0.62,0.58,0.6,0.61,0.6,0.44,0.61,0.62,0.62,0.62,0.6,0.59,0.59,0.65,0.59,0.61,0.6,0.6,0.61,0.62,0.64,0.6,0.6,0.6,0.59,0.52,
2_U100-001 : 0.76,0.77,0.77,0.78,0.74,0.78,0.77,0.78,0.79,0.75,0.75,0.76,0.74,0.78,0.79,0.74,0.77,0.77,0.76,0.78,0.77,0.74,0.76,0.77,0.78,0.77,0.76,0.76,0.78,0.77,0.75,0.77,0.75,0.77,0.78,0.76,0.77,0.77,0.77,0.74,0.77,0.76,0.79,0.77,0.76,0.75,0.77,0.77,0.76,0.74,
2_U100-000 : 0.78,0.78,0.77,0.75,0.77,0.76,0.78,0.77,0.77,0.78,0.77,0.77,0.77,0.77,0.77,0.77,0.78,0.77,0.76,0.77,0.78,0.77,0.78,0.78,0.78,0.78,0.78,0.77,0.77,0.78,0.77,0.78,0.77,0.77,0.77,0.77,0.77,0.78,0.76,0.77,0.78,0.77,0.77,0.76,0.78,0.77,0.77,0.78,0.77,0.77,
2_U10-008 : 0.68,0.64,0.73,0.63,0.61,0.62,0.75,0.75,0.74,0.75,0.74,0.74,0.73,0.74,0.63,0.6,0.76,0.73,0.76,0.64,0.64,0.76,0.72,0.75,0.64,0.75,0.74,0.76,0.73,0.75,0.75,0.73,0.75,0.76,0.7,0.66,0.76,0.76,0.7,0.74,0.73,0.64,0.73,0.67,0.74,0.75,0.76,0.77,0.75,0.73,
2_001 : 0.77,0.75,0.76,0.77,0.75,0.73,0.74,0.76,0.76,0.74,0.78,0.76,0.75,0.74,0.73,0.75,0.75,0.74,0.76,0.75,0.75,0.75,0.74,0.79,0.75,0.75,0.76,0.74,0.74,0.74,0.74,0.73,0.75,0.79,0.74,0.77,0.75,0.75,0.75,0.75,0.73,0.75,0.74,0.74,0.74,0.74,0.74,0.75,0.74,0.75,
2_036 : 0.74,0.72,0.74,0.72,0.65,0.74,0.7,0.71,0.73,0.71,0.7,0.63,0.74,0.75,0.73,0.64,0.71,0.72,0.74,0.74,0.75,0.74,0.72,0.73,0.65,0.7,0.73,0.74,0.72,0.74,0.73,0.75,0.71,0.62,0.74,0.73,0.74,0.72,0.71,0.73,0.75,0.73,0.73,0.73,0.74,0.7,0.71,0.72,0.71,0.69,
2_033 : 0.72,0.74,0.72,0.73,0.72,0.75,0.73,0.75,0.71,0.72,0.75,0.72,0.75,0.71,0.74,0.75,0.72,0.71,0.75,0.74,0.72,0.73,0.72,0.71,0.72,0.74,0.73,0.67,0.73,0.73,0.71,0.69,0.72,0.71,0.74,0.74,0.75,0.7,0.75,0.75,0.76,0.72,0.75,0.69,0.74,0.74,0.73,0.7,0.75,0.71,
2_054 : 0.32,0.24,0.28,0.29,0.33,0.31,0.28,0.28,0.28,0.23,0.29,0.23,0.33,0.34,0.31,0.24,0.26,0.32,0.29,0.24,0.31,0.35,0.31,0.28,0.22,0.29,0.27,0.34,0.29,0.34,0.3,0.25,0.26,0.28,0.28,0.26,0.31,0.27,0.27,0.33,0.28,0.35,0.31,0.3,0.28,0.35,0.27,0.26,0.26,0.34,
2_005 : 0.33,0.58,0.57,0.34,0.35,0.6,0.3,0.29,0.52,0.37,0.43,0.37,0.51,0.32,0.33,0.36,0.56,0.51,0.58,0.31,0.27,0.33,0.57,0.49,0.38,0.35,0.42,0.46,0.5,0.3,0.3,0.52,0.3,0.31,0.55,0.36,0.34,0.55,0.34,0.31,0.31,0.58,0.3,0.34,0.3,0.3,0.52,0.29,0.32,0.6,
2_047 : 0.61,0.61,0.35,0.38,0.39,0.64,0.51,0.38,0.39,0.6,0.62,0.6,0.56,0.34,0.62,0.65,0.62,0.66,0.6,0.63,0.38,0.57,0.34,0.34,0.31,0.62,0.38,0.57,0.37,0.61,0.49,0.63,0.4,0.62,0.31,0.51,0.66,0.64,0.62,0.36,0.38,0.5,0.3,0.62,0.35,0.61,0.38,0.49,0.66,0.63,
2_U100-004 : 0.78,0.77,0.77,0.78,0.78,0.77,0.77,0.78,0.78,0.78,0.78,0.78,0.78,0.77,0.78,0.77,0.78,0.76,0.78,0.77,0.79,0.78,0.77,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.79,0.76,0.78,0.78,0.76,0.77,0.78,0.78,0.77,0.77,0.77,0.78,0.77,0.79,0.78,0.78,0.78,0.78,0.77,0.76,
2_030 : 0.47,0.39,0.58,0.65,0.57,0.6,0.33,0.7,0.73,0.6,0.75,0.59,0.65,0.65,0.43,0.51,0.5,0.38,0.58,0.73,0.66,0.46,0.53,0.3,0.35,0.35,0.61,0.65,0.62,0.45,0.43,0.57,0.65,0.58,0.34,0.63,0.39,0.59,0.59,0.72,0.42,0.66,0.54,0.54,0.3,0.42,0.42,0.6,0.31,0.56,
2_049 : 0.56,0.31,0.31,0.55,0.36,0.7,0.6,0.62,0.63,0.44,0.64,0.65,0.47,0.4,0.37,0.44,0.6,0.3,0.64,0.66,0.7,0.64,0.61,0.59,0.53,0.59,0.66,0.65,0.41,0.61,0.65,0.65,0.61,0.65,0.64,0.63,0.64,0.61,0.42,0.65,0.35,0.6,0.66,0.59,0.41,0.62,0.62,0.59,0.38,0.65,
2_009 : 0.3,0.61,0.29,0.49,0.43,0.3,0.47,0.49,0.33,0.6,0.56,0.31,0.39,0.55,0.37,0.55,0.56,0.38,0.54,0.59,0.29,0.45,0.52,0.32,0.47,0.59,0.45,0.32,0.32,0.36,0.51,0.51,0.52,0.37,0.45,0.32,0.28,0.57,0.46,0.29,0.36,0.31,0.42,0.33,0.31,0.44,0.32,0.33,0.31,0.54,
2_U10-005 : 0.75,0.73,0.74,0.74,0.76,0.74,0.74,0.75,0.76,0.76,0.74,0.75,0.72,0.73,0.75,0.73,0.74,0.73,0.75,0.74,0.74,0.75,0.76,0.74,0.72,0.75,0.74,0.74,0.74,0.74,0.75,0.73,0.75,0.73,0.75,0.75,0.75,0.75,0.75,0.74,0.76,0.75,0.74,0.74,0.72,0.73,0.75,0.73,0.75,0.74,
2_U10-007 : 0.76,0.76,0.77,0.75,0.75,0.77,0.76,0.77,0.76,0.66,0.76,0.76,0.76,0.77,0.77,0.77,0.77,0.77,0.73,0.77,0.76,0.75,0.74,0.79,0.75,0.76,0.76,0.75,0.75,0.77,0.75,0.76,0.76,0.48,0.77,0.76,0.76,0.75,0.77,0.76,0.77,0.66,0.76,0.77,0.76,0.78,0.76,0.76,0.77,0.75,
